id,category,city,experienceLevel
P18JYKo,Digital Marketing,Krsk,5
2dd5lWF,Programming & Tech,Msc,0
7qrh8bu,Programming & Tech,SPb,8
Jxg8KKo,Programming & Tech,SPb,0
3I5k4Ej,Programming & Tech,Msc,4
Z0QGQLX,Programming & Tech,Msc,9
PDtrDix,Video & Animation,Vlc,5
8Axeqa6,Programming & Tech,Msc,8
LSIWrmI,Programming & Tech,Msc,3
70hPgOa,Programming & Tech,Msc,9
LOcT6t7,Programming & Tech,Msc,5
HL35GGN,Programming & Tech,Msc,0
585rcgz,Business,Nvsk,1
rDU3WiE,Programming & Tech,SPb,9
eZC0yTp,Business,Nvsk,3
M9gGW30,Programming & Tech,Msc,0
iwVIRjb,Programming & Tech,Msc,2
OjTpCbl,Digital Marketing,Krsk,2
kwVejtN,Video & Animation,Vlc,7
MMh5D1c,Programming & Tech,Msc,1
hDwsI5Z,Programming & Tech,Msc,3
vTIxtCG,Programming & Tech,Msc,9
d2TmIvL,Programming & Tech,Msc,3
8pr95f3,Music & Audio,Mmk,7
tf0gTy3,Programming & Tech,Msc,4
LTWw2Yj,Programming & Tech,Msc,3
gnr3Dqs,Programming & Tech,Msc,3
DjH2pRU,Programming & Tech,Msc,5
HMylkQD,Lifestyle,Nov,2
xrw90wT,Programming & Tech,Msc,5
dp8HE0A,Programming & Tech,Msc,0
xq2ARwE,Video & Animation,Vlc,2
NT52xWS,Programming & Tech,Msc,9
1iGb6mP,Programming & Tech,Msc,9
ltAHs1Y,Programming & Tech,Msc,7
EtGZMLH,Programming & Tech,Msc,0
i9KJHjN,Business,Nvsk,0
Gsfkhvs,Video & Animation,Vlc,7
yfkmWbT,Programming & Tech,Msc,0
lIobWCU,Digital Marketing,Krsk,7
aDh9JR4,Programming & Tech,Msc,9
8ufh4ST,Programming & Tech,Msc,9
gm1NWwb,Programming & Tech,Msc,9
wSJB5OH,Lifestyle,Nov,7
WO6SQ9h,Programming & Tech,Msc,9
5040YtS,Programming & Tech,Msc,2
n78JBk2,Programming & Tech,Msc,6
iRK7rx7,Programming & Tech,Msc,6
iYb5BXy,Writing & Translation,NNov,1
K0o7LPE,Programming & Tech,Msc,9
222ZyoT,Programming & Tech,Msc,9
2siLu59,Business,Nvsk,6
gm2QO4v,Programming & Tech,Msc,2
nFrsSta,Programming & Tech,Msc,8
jPkdJD1,Video & Animation,Vlc,3
C5AI5iA,Programming & Tech,Msc,5
PcKoEA0,Writing & Translation,NNov,6
KCBgkPH,Programming & Tech,Msc,7
FE0uuHU,Programming & Tech,Msc,5
DG1afSO,Programming & Tech,Msc,1
xw64XLI,Writing & Translation,NNov,5
EdOz2cO,Programming & Tech,Msc,9
QtXLpxC,Lifestyle,Nov,0
2QQ2TAp,Programming & Tech,Msc,7
0YZJSWA,Programming & Tech,Msc,8
u5eebMA,Programming & Tech,Msc,7
Bo1BCAt,Programming & Tech,Msc,0
JczEo7o,Programming & Tech,Msc,9
cISrK1L,Video & Animation,Vlc,8
DPGyLHG,Writing & Translation,NNov,2
7JHzxdI,Programming & Tech,Msc,8
jnqDA93,Programming & Tech,Msc,3
DQojVAg,Programming & Tech,Msc,7
tg1EGqC,Programming & Tech,Msc,9
2bToQz0,Programming & Tech,Msc,5
TRTLkj3,Programming & Tech,SPb,5
zYvRoqa,Music & Audio,Mmk,7
OFGPfHz,Programming & Tech,Msc,2
yUms713,Lifestyle,Nov,9
Oknd011,Programming & Tech,Msc,9
COHtohX,Business,Nvsk,9
px85mmU,Lifestyle,Nov,1
Mud53pF,Programming & Tech,Msc,6
nSrCSm4,Video & Animation,Vlc,9
lw6Um5I,Programming & Tech,Msc,6
KVgDjK0,Programming & Tech,Msc,5
2brObmg,Programming & Tech,Msc,1
SS6PQPk,Programming & Tech,Msc,4
lHwfufv,Programming & Tech,Msc,7
butLciN,Programming & Tech,Msc,2
RfYykqF,Programming & Tech,Msc,2
VwwdMSu,Programming & Tech,SPb,4
Lp5qjbJ,Video & Animation,Vlc,5
4NEal1c,Programming & Tech,Msc,3
Cle8m9n,Programming & Tech,Msc,1
8HudHUR,Digital Marketing,Krsk,8
vaYKIL3,Programming & Tech,Msc,2
qG1E0ep,Video & Animation,Vlc,7
vadsBea,Programming & Tech,Msc,7
zA4DI1w,Writing & Translation,NNov,9
ufavKuD,Programming & Tech,Msc,4
sS5ACy1,Business,Nvsk,4
IEFijYA,Digital Marketing,Krsk,2
fABqgn3,Music & Audio,Mmk,8
7cxqlyV,Programming & Tech,Msc,2
VzNzq0d,Programming & Tech,Msc,0
0k3dg4P,Programming & Tech,Msc,5
uvBM2Ii,Programming & Tech,Msc,8
lF6S4pf,Programming & Tech,Msc,2
d0c8m78,Programming & Tech,Msc,7
0MTfFTx,Digital Marketing,Krsk,4
BAbzO3j,Writing & Translation,NNov,8
KgCWY2o,Lifestyle,Nov,5
bE6jdl1,Programming & Tech,Msc,2
nW2BjAV,Programming & Tech,Msc,9
PL9psZA,Lifestyle,Nov,0
T2WqzEY,Programming & Tech,Msc,8
viDQKgC,Programming & Tech,Msc,2
4zzJh6u,Programming & Tech,Msc,3
A9teVTY,Programming & Tech,SPb,5
nPotcPO,Programming & Tech,Msc,1
8tI87zX,Programming & Tech,Msc,7
5yezoWM,Programming & Tech,Msc,8
sctrim6,Programming & Tech,Msc,0
bhMgn0c,Programming & Tech,SPb,5
p0aMTIF,Programming & Tech,Msc,0
jjxY7pj,Video & Animation,Vlc,9
Z1uuFSW,Programming & Tech,Msc,7
TCr6VDW,Music & Audio,Mmk,8
XtknNkc,Programming & Tech,Msc,8
IGiI8EL,Video & Animation,Vlc,8
zcuGO19,Programming & Tech,Msc,9
nYoZWpY,Business,Nvsk,2
d5jlg80,Programming & Tech,Msc,8
x8GF3Z2,Lifestyle,Nov,9
b9ZQYTD,Programming & Tech,Msc,3
JcskdLY,Programming & Tech,Msc,2
4KmW73d,Programming & Tech,Msc,1
9JTuaXl,Lifestyle,Nov,4
7J3WHCN,Programming & Tech,Msc,8
0VQScdQ,Music & Audio,Mmk,4
eqlpNud,Lifestyle,Nov,3
NHEZLpP,Programming & Tech,SPb,9
3MNmvn9,Video & Animation,Vlc,4
XonQzA3,Lifestyle,Nov,0
vtFG7u5,Business,Nvsk,6
6LMntga,Programming & Tech,SPb,7
fbPmdZI,Programming & Tech,Msc,8
c4kYjVD,Business,Nvsk,6
kRlXcpf,Programming & Tech,Msc,5
DcxDBZc,Programming & Tech,Msc,6
Kxj2Pw8,Programming & Tech,Msc,7
g5ppbd7,Lifestyle,Nov,4
wO0ttvS,Programming & Tech,Msc,6
