category,city,experienceLevel,price
Programming & Tech,Msc,1,418.0
Programming & Tech,Msc,1,881.0
Music & Audio,Mmk,0,604.0
Business,Nvsk,2,246.0
Programming & Tech,SPb,6,476.0
Programming & Tech,Msc,1,371.0
Programming & Tech,Msc,8,360.0
Programming & Tech,Msc,4,554.0
Programming & Tech,Msc,6,409.0
Programming & Tech,Msc,2,673.0
Programming & Tech,SPb,5,198.0
Lifestyle,Nov,0,449.0
Video & Animation,Vlc,8,523.0
Programming & Tech,Msc,7,709.0
Programming & Tech,Msc,1,917.0
Business,Nvsk,0,918.0
Programming & Tech,Msc,4,443.0
Digital Marketing,Krsk,3,816.0
Programming & Tech,Msc,1,642.0
Programming & Tech,Msc,2,698.0
Programming & Tech,Msc,8,150.0
Programming & Tech,Msc,5,940.0
Programming & Tech,Msc,2,786.0
Programming & Tech,Msc,8,764.0
Digital Marketing,Krsk,6,406.0
Programming & Tech,Msc,6,764.0
Programming & Tech,Msc,2,183.0
Programming & Tech,Msc,2,552.0
Programming & Tech,Msc,9,196.0
Digital Marketing,Krsk,4,553.0
Programming & Tech,Msc,7,509.0
Lifestyle,Nov,4,727.0
Writing & Translation,NNov,1,201.0
Programming & Tech,Msc,5,1080.0
Programming & Tech,SPb,3,758.0
Music & Audio,Mmk,5,151.0
Lifestyle,Nov,4,1005.0
Programming & Tech,Msc,5,308.0
Business,Nvsk,0,387.0
Programming & Tech,Msc,8,888.0
Digital Marketing,Krsk,8,462.0
Programming & Tech,SPb,9,171.0
Programming & Tech,Msc,3,228.0
Programming & Tech,Msc,8,392.0
Programming & Tech,Msc,1,249.0
Business,Nvsk,5,1029.0
Video & Animation,Vlc,8,1079.0
Programming & Tech,Msc,3,266.0
Programming & Tech,SPb,5,448.0
Programming & Tech,Msc,7,580.0
Programming & Tech,SPb,5,810.0
Writing & Translation,NNov,9,952.0
Programming & Tech,Msc,3,192.0
Programming & Tech,Msc,3,783.0
Programming & Tech,Msc,1,1078.0
Digital Marketing,Krsk,4,128.0
Business,Nvsk,8,662.0
Video & Animation,Vlc,4,247.0
Programming & Tech,Msc,8,821.0
Programming & Tech,SPb,6,796.0
Programming & Tech,Msc,5,593.0
Programming & Tech,Msc,5,894.0
Programming & Tech,Msc,8,155.0
Programming & Tech,Msc,3,411.0
Programming & Tech,Msc,3,842.0
Programming & Tech,Msc,6,695.0
Video & Animation,Vlc,3,1057.0
Business,Nvsk,1,384.0
Business,Nvsk,3,243.0
Lifestyle,Nov,5,437.0
Programming & Tech,Msc,5,569.0
Lifestyle,Nov,2,598.0
Programming & Tech,Msc,2,321.0
Programming & Tech,Msc,5,582.0
Programming & Tech,Msc,2,932.0
Music & Audio,Mmk,1,310.0
Video & Animation,Vlc,6,328.0
Programming & Tech,SPb,2,596.0
Programming & Tech,SPb,9,369.0
Video & Animation,Vlc,9,101.0
Programming & Tech,Msc,5,240.0
Programming & Tech,Msc,1,817.0
Music & Audio,Mmk,8,936.0
Programming & Tech,Msc,7,1003.0
Programming & Tech,Msc,9,818.0
Programming & Tech,Msc,4,926.0
Programming & Tech,Msc,6,717.0
Digital Marketing,Krsk,6,770.0
Lifestyle,Nov,1,914.0
Writing & Translation,NNov,1,500.0
Programming & Tech,Msc,0,334.0
Programming & Tech,Msc,3,235.0
Programming & Tech,SPb,8,981.0
Programming & Tech,Msc,6,224.0
Programming & Tech,Msc,5,814.0
Music & Audio,Mmk,8,644.0
Programming & Tech,Msc,8,771.0
Programming & Tech,SPb,1,147.0
Business,Nvsk,0,959.0
Music & Audio,Mmk,5,540.0
Music & Audio,Mmk,6,444.0
Writing & Translation,NNov,8,986.0
Programming & Tech,Msc,5,492.0
Lifestyle,Nov,4,455.0
Programming & Tech,Msc,2,866.0
Digital Marketing,Krsk,7,362.0
Business,Nvsk,0,637.0
Programming & Tech,Msc,1,1082.0
Digital Marketing,Krsk,0,611.0
Digital Marketing,Krsk,9,793.0
Programming & Tech,Msc,8,686.0
Programming & Tech,Msc,9,1078.0
Programming & Tech,Msc,0,132.0
Music & Audio,Mmk,3,670.0
Programming & Tech,Msc,8,927.0
Programming & Tech,Msc,6,230.0
Business,Nvsk,3,579.0
Programming & Tech,Msc,8,1057.0
Writing & Translation,NNov,9,883.0
Programming & Tech,Msc,8,522.0
Programming & Tech,Msc,3,1035.0
Programming & Tech,Msc,4,243.0
Programming & Tech,Msc,8,719.0
Programming & Tech,Msc,1,761.0
Programming & Tech,SPb,9,383.0
Digital Marketing,Krsk,2,130.0
Programming & Tech,Msc,9,188.0
Programming & Tech,Msc,3,226.0
Programming & Tech,Msc,5,602.0
Programming & Tech,Msc,0,1029.0
Programming & Tech,Msc,2,757.0
Digital Marketing,Krsk,7,699.0
Programming & Tech,Msc,1,1080.0
Programming & Tech,SPb,0,735.0
Programming & Tech,Msc,2,227.0
Programming & Tech,Msc,2,271.0
Video & Animation,Vlc,4,414.0
Programming & Tech,Msc,0,967.0
Programming & Tech,Msc,5,363.0
Lifestyle,Nov,5,963.0
Programming & Tech,Msc,3,1067.0
Writing & Translation,NNov,2,671.0
Programming & Tech,Msc,3,199.0
Programming & Tech,Msc,3,142.0
Programming & Tech,Msc,3,625.0
Business,Nvsk,1,685.0
Programming & Tech,Msc,3,424.0
Programming & Tech,Msc,7,280.0
Programming & Tech,Msc,7,394.0
Writing & Translation,NNov,4,719.0
Lifestyle,Nov,4,153.0
Programming & Tech,Msc,9,719.0
Programming & Tech,Msc,0,863.0
Programming & Tech,Msc,7,303.0
Programming & Tech,Msc,0,1064.0
Digital Marketing,Krsk,5,607.0
Programming & Tech,Msc,7,130.0
Programming & Tech,Msc,7,224.0
Lifestyle,Nov,6,685.0
Lifestyle,Nov,8,313.0
Programming & Tech,Msc,7,258.0
Music & Audio,Mmk,3,549.0
Programming & Tech,Msc,9,911.0
Lifestyle,Nov,1,690.0
Video & Animation,Vlc,5,650.0
Programming & Tech,SPb,1,219.0
Programming & Tech,Msc,0,124.0
Programming & Tech,Msc,9,282.0
Lifestyle,Nov,0,267.0
Programming & Tech,Msc,0,407.0
Programming & Tech,Msc,6,221.0
Programming & Tech,Msc,1,301.0
Programming & Tech,Msc,0,627.0
Programming & Tech,Msc,4,374.0
Writing & Translation,NNov,9,616.0
Programming & Tech,Msc,8,720.0
Programming & Tech,Msc,8,1021.0
Digital Marketing,Krsk,5,783.0
Programming & Tech,Msc,4,243.0
Programming & Tech,Msc,1,987.0
Programming & Tech,Msc,6,1066.0
Music & Audio,Mmk,6,105.0
Lifestyle,Nov,5,158.0
Lifestyle,Nov,0,202.0
Programming & Tech,Msc,6,437.0
Video & Animation,Vlc,4,307.0
Programming & Tech,Msc,8,488.0
Programming & Tech,Msc,7,340.0
Video & Animation,Vlc,1,1012.0
Programming & Tech,Msc,9,263.0
Writing & Translation,NNov,4,1066.0
Business,Nvsk,7,856.0
Programming & Tech,Msc,4,622.0
Lifestyle,Nov,5,949.0
Digital Marketing,Krsk,7,410.0
Programming & Tech,Msc,5,561.0
Programming & Tech,Msc,3,1090.0
Music & Audio,Mmk,4,995.0
Programming & Tech,Msc,5,446.0
Lifestyle,Nov,0,689.0
Digital Marketing,Krsk,9,362.0
Programming & Tech,Msc,7,589.0
Programming & Tech,Msc,2,1014.0
Programming & Tech,Msc,4,415.0
Programming & Tech,SPb,7,191.0
Programming & Tech,Msc,6,617.0
Programming & Tech,SPb,2,282.0
Video & Animation,Vlc,7,548.0
